"Name","First","Middle","Last","Owner Manager Name","License No","Profession","License Type","Status","Issue Date","Specialty","Expiration Date","Address Line 1","Address Line 2","Address Line 3","City","State","Zip","Email","Phone","Fax","Total Capacity Beds","Alzheimer/Special Care Unit Beds","Skilled Nursing Facility Beds","Long-Term Care Beds","Skilled/Long-Term Care Beds","Private Pay Beds"
"BUTLER HOSPITAL","","","","MARY E MARRAN","HOS00124","Hospital","Hospital","Active","09/08/1987","","12/31/2023","MARY E. MARRAN, MS, OT, MBA","PRESIDENT AND COO","345 BLACKSTONE BOULEVARD","PROVIDENCE","RI","02906","MMARRAN@BUTLER.ORG","(401) 455-6270 ","(401) 455-6252 ","143","0","0","0","0","0"
"ELEANOR SLATER HOSPITAL","","","","BRETT JOHNSON, CEO","HOS00102","Hospital","Hospital","Active","10/17/1994","","12/31/2023","111 HOWARD AVENUE","","","CRANSTON","RI","02920","BRETT.JOHNSON@BHDDH.RI.GOV","(401) 462-3085 ","(401) 462-0647 ","178","0","0","0","0","0"
"EMMA PENDLETON BRADLEY HOSPITAL","","","","HENRY T SACHS, MD ","HOS00123","Hospital","Hospital","Active","09/08/1987","","12/31/2023","1011 VETERANS MEMORIAL PARKWAY","","","EAST PROVIDENCE","RI","02915","HSACHS@LIFESPAN.ORG","(401) 432-1000 ","(401) 432-1509 ","70","0","0","0","0","0"
"KENT COUNTY MEMORIAL HOSPITAL","","","","PAARI GOPALAKRISHNAN, PRESIDENT AND CEO","HOS00125","Hospital","Hospital","Active","09/08/1987","","12/31/2023","455 TOLL GATE ROAD","","","WARWICK","RI","02886","pgopalakrishnan@kentri.org","(401) 737-7010 ","(401) 736-1000 ","359","0","0","0","0","0"
"LANDMARK MEDICAL CENTER","","","","MICHAEL SOUZA CEO","HOS00134","Hospital","Hospital","Active","12/31/2017","","12/31/2023","115 CASS AVENUE","ATTEN  ADMINISTRATION","","WOONSOCKET","RI","02895","MSOUZA1@PRIMEHEALTHCARE.COM","(401) 769-4100 ","(401) 766-5488 ","214","0","0","0","0","0"
"NEWPORT HOSPITAL","","","","CRISTA  F. DURAND","HOS00127","Hospital","Hospital","Active","09/08/1987","","12/31/2023","11 FRIENDSHIP STREET","","","NEWPORT","RI","02840","CDURAND@LIFESPAN.ORG","(401) 846-6400 ","(401) 845-1088 ","129","0","0","0","0","0"
"OUR LADY OF FATIMA HOSPITAL","","","","JEFFREY LIEBMAN","HOS00132","Hospital","Hospital","Active","06/20/2014","","12/31/2023","200 HIGH SERVICE AVENUE","","","NORTH PROVIDENCE","RI","02904","JEFFREY.LIEBMAN@CHARTERCARE.ORG","(401) 456-3000 ","(401) 456-2029 ","312","0","0","0","0","0"
"RHODE ISLAND HOSPITAL","","","","Saul Weingart, MD President","HOS00121","Hospital","Hospital","Active","09/08/1987","","12/31/2023","593 EDDY STREET","","","PROVIDENCE","RI","02903","SWEINGART@LIFESPAN.ORG","(401) 444-0054 ","(401) 444-4218 ","719","0","0","0","0","0"
"RHODE ISLAND STATE PSYCHIATRIC HOSPITAL","","","","IRENA BEYDER","HOS00135","Hospital","Hospital","Active","10/25/2022","","12/31/2023","45 HOWARD AVENUE","","","CRANSTON","RI","02920","IRINA.BEYDER@BHDDH.RI.GOV","","","52","0","0","0","0","0"
"ROGER WILLIAMS MEDICAL CENTER","","","","JEFFREY LIEBMAN, PRESIDENT","HOS00133","Hospital","Hospital","Active","06/20/2014","","12/31/2023","825 CHALKSTONE AVENUE","","","PROVIDENCE","RI","02908","JEFFREY.LIEBMAN@CHARTERCARE.ORG","(401) 456-2000 ","(401) 456-2029 ","220","0","0","0","0","0"
"SOUTH COUNTY HEALTH","","","","AARON S. ROBINSON PRESIDENT & CEO","HOS00114","Hospital","Hospital","Active","10/07/1994","","12/31/2023","100 KENYON AVENUE","","","WAKEFIELD","RI","02879","AROBINSON@SOUTHCOUNTYHEALTH.ORG","(401) 782-8020 ","(401) 789-9765 ","100","0","0","0","0","0"
"THE MIRIAM HOSPITAL","","","","MARIA P. DUCHARME,  PRESIDENT","HOS00122","Hospital","Hospital","Active","09/08/1987","","12/31/2023","164 SUMMIT AVENUE","","","PROVIDENCE","RI","02906","mducharm@lifespan.org  ","(401) 793-2005 ","(401) 793-7587 ","247","0","0","0","0","0"
"WESTERLY HOSPITAL","","","","PATRICK GREEN","HOS00129","Hospital","Hospital","Active","06/07/2013","","12/31/2023","25 WELLS  ST","","","WESTERLY","RI","02891","PATRICK.GREEN@YNHH.ORG","(401) 596-6000 ","(860) 444-4763 ","125","0","0","0","0","0"
"WOMEN & INFANTS HOSPITAL OF RHODE ISLAND","","","","SHANNON R. SULLIVAN, PRESIDENT & COO","HOS00126","Hospital","Hospital","Active","09/08/1987","","12/31/2023","101 DUDLEY STREET","","","PROVIDENCE","RI","02905","SHSULLIVAN@WIHRI.ORG","(401) 274-1100 ","(401) 453-7666 ","167","0","0","0","0","0"
