"org_ID","parent_ID","code","finance_code","name","name_short_30","name_short_15","org_type_ID","org_type","active","location_address1","location_address2","location_address3","location_city","location_state","location_zip","location","location_zip_ext","location_phone","location_fax","location_email","location_web_site","contact_title_ID","title","user_firstname","user_middlename","user_lastname","user_suffix","contact_ID","fullname","role_name","role_ID","contact_phone","contact_phone2","contact_phone3","contact_fax","contact_email","group_ID","listing_order","sch_sub_type_ID","sch_sub_type_name","role_sort_order","source"
"3585","42","70506","","Brigham Young University","Brigham Young University","Brigham Young U","2","School","Y","Brigham Young University","","","Provo","UT","84602","Provo, UT  84602","","(801) 422-4636","","","","","","","","","","","  ","","","(801) 422-4636","","","","","","","10","Private Colleges and Universities","","RIDE_Mar 13 2023 12:58PM"
"1102","","28501","","Brown University                                  ","Brown University              ","Brown Univ.    ","2","School","Y","Prospect Street               ","","","Providence","RI","02912","Providence, RI  02912","","(401) 863-1000","(401) 863-7737","                                                  ","www.brown.edu                                                            ","27","President","Ruth","J.","Simmons","","968","Dr. Ruth J. Simmons","Principal","2","(401) 863-1000","","","(401) 863-7737","                                                  ","","","10","Private Colleges and Universities","5","RIDE_Mar 13 2023 12:58PM"
"1174","","31501","","Bryant University","Bryant University","Bryant Univ","2","School","Y","1150 Douglas Pike","","","Smithfield","RI","02917","Smithfield, RI  02917","","(401) 232-6008","(401) 232-6709","","www.bryant.edu","27","President","Ronald","K.","Machtley","","1029","Hon. Ronald K. Machtley","Principal","2","(401) 232-6008","","","(401) 232-6709","","","","10","Private Colleges and Universities","5","RIDE_Mar 13 2023 12:58PM"
"3452","42","70505","","Clarkson University","Clarkson University","Clarkson Univ","2","School","Y","8 Clarkson Ave","","","Potsdam","NY","13699","Potsdam, NY  13699","","(315) 268-6400","","","www.clarkson.edu","","","","","","","","  ","","","(315) 268-6400","","","","","","","10","Private Colleges and Universities","","RIDE_Mar 13 2023 12:58PM"
"1105","","28504","","Johnson and Wales University","Johnson and Wales University","Johnson  Wales","2","School","Y","8 Abbott Park Place","","","Providence","RI","02903","Providence, RI  02903","","(401) 598-2473","(401) 598-1833","","www.jwu.edu","27","President","Irving ","","Schneider","","2190","Dr. Irving   Schneider","Principal","2","(401) 598-2473","","","(401) 598-1833","","","","10","Private Colleges and Universities","5","RIDE_Mar 13 2023 12:58PM"
"704","","21502","","Naval War College","Naval War College","Naval War","2","School","Y","686 Cushing Road","","","Newport","RI","02841","Newport, RI  02841","","(401) 841-3454","(401) 841-1297","","www.nwc.navy.mil","27","President","James","P","Wisecup","","2705","Rear Adm. James P Wisecup","Principal","2","(401) 841-2266","","","(401) 841-1297","","","","10","Private Colleges and Universities","5","RIDE_Mar 13 2023 12:58PM"
"1376","","35506","","New England Institute of Technology               ","NE Institute of Technology    ","NEIT           ","2","School","Y","1 New England Tech Boulevard","","","East Greenwich","RI","02818","East Greenwich, RI  02818","","","","","","27","President","Richard","I.","Gouse","","1208","Richard I. Gouse","Principal","2","(401) 467-7744","","","(401) 738-8990","                                                  ","","","10","Private Colleges and Universities","5","RIDE_Mar 13 2023 12:58PM"
"1103","","28502","","Providence College","Providence College","Providence Col.","2","School","Y","549 River Avenue","","","Providence","RI","02918","Providence, RI  02918","","(401) 865-2153","(401) 865-2105","","www.providence.edu","27","President","Brian","J.","Shanley","O.P.","969","Rev. Brian J. Shanley, O.P.","Principal","2","(401) 865-2153","","","(401) 865-2105","","","","10","Private Colleges and Universities","5","RIDE_Mar 13 2023 12:58PM"
"1104","","28503","","Rhode Island School of Design","Rhode Island School of Design","RISD","2","School","Y","2 College Street","","","Providence","RI","02903","Providence, RI  02903","","(401) 454-6764","(401) 454-6406","","www.risd.edu","27","President","John","","Maeda","","2287","Dr. John  Maeda","Principal","2","(401) 454-6764","","","(401) 454-6406","","","","10","Private Colleges and Universities","5","RIDE_Mar 13 2023 12:58PM"
"1602","","96501","","Roger Williams University","Roger Williams University","Roger Williams","2","School","Y","One Old Ferry Road","","","Bristol","RI","02809","Bristol, RI  02809","","(401) 253-1040","(401) 254-3158","","www.rwu.edu","27","President","Roy","J.","Nirschel","","1390","Dr. Roy J. Nirschel","Principal","2","(401) 253-1040","","","(401) 254-3158","","","","10","Private Colleges and Universities","5","RIDE_Mar 13 2023 12:58PM"
