seqid,org_ID,parent_ID,code,name,name_30,name_15,orgtype_ID,org_type,address1,address2,city,state,zipcode,grade_span,subtype_ID,subtype_nm,source,reptsource,add_orig,match_note,score,match_add,xcoord,ycoord
0,616,2395,19201,All Saints Academy,All Saints Academy,All Saints,2,School,915 West Main Road,,Middletown,RI,02842,PF - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"915 W MAIN RD, MIDDLETOWN, RI, 02842",384893.62551369244,161087.28013431423
1,1308,2395,35201,Bishop Hendricken High School,Bishop Hendricken High,Hendricken High,2,School,2615 Warwick Avenue,,Warwick,RI,02889,08 - 12,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"2615 WARWICK AV, WARWICK, RI, 02889",356417.7664556541,226815.39255699923
2,984,2395,28217,Bishop McVinney Regional School,Bishop McVinney School,McVinney School,2,School,155 Gordon Avenue,,Providence,RI,02905,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"155 GORDON AV, PROVIDENCE, RI, 02905",351232.77834241156,261741.09984255923
3,975,2395,28202,Blessed Sacrament School,Blessed Sacrament School,Sacrament,2,School,240 Regent Avenue,,Providence,RI,02908,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"240 REGENT AV, PROVIDENCE, RI, 02908",343552.43141369754,271764.2296492031
4,3614,2395,35209,Chesterton Academy of Our Lady of Hope(in Process),Chesterton Academy of Our Lady,Chesterton Acad,2,School,487 Jefferson Blv,,Warwick,RI,02886,09 - 12,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"487 JEFFERSON BLVD, WARWICK, RI, 02886",344047.47927446984,237440.90204832665
5,228,2395,06204,Father John V. Doyle School,Father John Doyle School,Doyle School,2,School,343 South Main Street,,Coventry,RI,02816,KF - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"343 S MAIN ST, COVENTRY, RI, 02816",307204.9611716909,218461.12329232358
6,288,2395,07202,Immaculate Conception Catholic Regional,Immaculate Conception Catholic,Immaculate Cath,2,School,235 Garden Hills Drive,,Cranston,RI,02920,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"235 GARDEN HILLS DR, CRANSTON, RI, 02920",334768.72380541195,243562.2624641764
7,369,2395,08201,Mercymount Country Day School,Mercymount Country Day,Mercymount Day,2,School,35 Wrentham Road,,Cumberland,RI,02864,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,MULTIPLE MATCHES,100,"35 WRENTHAM RD, CUMBERLAND, RI, 02864",351341.8988317548,336688.7474411105
8,1475,2395,39202,Mount St. Charles Academy,Mount St. Charles Academy,Mt. St. Charles,2,School,800 Logee Street,,Woonsocket,RI,02895,06 - 12,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,MULTIPLE MATCHES,100,"800 LOGEE ST, WOONSOCKET, RI, 02895",327613.29267398414,332555.22491392144
9,1193,2395,32203,Msgr. Matthew F. Clarke Catholic Regional School,Msgr. Clarke School,Clarke School,2,School,5074 Tower Hill Road,,Wakefield,RI,02879,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,93.28,"5074 TOWER HILL RD, SOUTH KINGSTOWN, RI, 02879",334126.68809932313,130918.70108588546
