seqid,stabr,fscskey,fscs_seq,libid,libname,address,city,zip,cnty,c_out_ty,sq_feet,f_sq_ft,hours,f_hours,wks_open,f_wksopn,yr_sub,locale,add_orig,match_note,score,match_add,xcoord,ycoord
0,RI,RI0001,002,BAR,BARRINGTON PUBLIC LIBRARY,281 COUNTY ROAD,BARRINGTON,02806,BRISTOL,CE,30000,R_21,2248,R_21,52,R_21,2022,21,,ONE MATCH,100.0,"281 COUNTY RD, BARRINGTON, RI, 02806",380715.31892872683,239510.60608298655
1,RI,RI0002,002,BRI,ROGERS FREE LIBRARY,525 HOPE STREET,BRISTOL,02809,BRISTOL,CE,28357,R_21,1993,R_21,48,R_21,2022,21,,ONE MATCH,100.0,"525 HOPE ST, BRISTOL, RI, 02809",388986.11185191467,214302.02800525646
2,RI,RI0003,002,BUR,JESSE M. SMITH MEMORIAL LIBRARY,100 TINKHAM LANE,BURRILLVILLE,02830,PROVIDENCE,CE,24900,R_21,1241,R_21,38,R_21,2022,21,,ONE MATCH,100.0,"100 TINKHAM LN, BURRILLVILLE, RI, 02830",280589.64334074274,321320.1652121878
3,RI,RI0004,002,PAS,PASCOAG FREE PUBLIC LIBRARY,57 CHURCH STREET,PASCOAG,02859,PROVIDENCE,CE,3456,R_21,962,R_21,37,R_21,2022,21,,ONE MATCH,94.46,"57 CHURCH ST, BURRILLVILLE, RI, 02859",272378.82028450846,318492.76108417416
4,RI,RI0005,002,CFA,ADAMS PUBLIC LIBRARY,205 CENTRAL STREET,CENTRAL FALLS,02863,PROVIDENCE,CE,5000,R_21,1172,R_21,50,R_21,2022,21,,ONE MATCH,100.0,"205 CENTRAL ST, CENTRAL FALLS, RI, 02863",358591.5938212443,292443.3119535056
5,RI,RI0006,002,CHA,CROSS' MILLS PUBLIC LIBRARY,4417 OLD POST ROAD,CHARLESTOWN,02813,WASHINGTON,CE,6707,R_21,1975,R_21,52,R_21,2022,31,,ONE MATCH,100.0,"4417 OLD POST RD, CHARLESTOWN, RI, 02813",289420.4313200755,109076.43101101255
6,RI,RI0007,002,COV,COVENTRY PUBLIC LIBRARY,1672 FLAT RIVER ROAD,COVENTRY,02816,KENT,CE,10000,R_21,2505,R_21,51,R_21,2022,21,,ONE MATCH,100.0,"1672 FLAT RIVER RD, COVENTRY, RI, 02816",302705.0239868755,224778.25730399543
7,RI,RI0007,003,GRE,GREENE PUBLIC LIBRARY,179 HOPKINS HOLLOW ROAD,GREENE,02827,KENT,BR,3200,R_21,771,R_21,51,R_21,2022,41,,ONE MATCH,95.41,"179 HOPKINS HOLLOW RD, COVENTRY, RI, 02827",259936.41538222885,220450.62690045522
8,RI,RI0010,002,CRA,CRANSTON PUBLIC LIBRARY,140 SOCKANOSSET CROSS ROAD,CRANSTON,02920,PROVIDENCE,CE,29678,R_21,2786,R_21,52,R_21,2022,21,,ONE MATCH,98.5,"140 SOCKANOSETT CROSS RD, CRANSTON, RI, 02920",339822.092318457,244522.33160925744
9,RI,RI0010,003,HAL,WILLIAM HALL LIBRARY,1825 BROAD STREET,CRANSTON,02905,PROVIDENCE,BR,19500,R_21,2106,R_21,52,R_21,2022,21,,ONE MATCH,100.0,"1825 BROAD ST, CRANSTON, RI, 02905",355425.3506248464,252215.51647589414
10,RI,RI0010,004,ARL,ARLINGTON BRANCH,1064 CRANSTON STREET,CRANSTON,02920,PROVIDENCE,BR,800,R_21,1274,R_21,49,R_21,2022,21,,ONE MATCH,100.0,"1064 CRANSTON ST, CRANSTON, RI, 02920",342234.4546782883,260213.39712775918
11,RI,RI0010,005,AUB,AUBURN BRANCH,396 PONTIAC AVENUE,CRANSTON,02910,PROVIDENCE,BR,5400,R_21,2120,R_21,52,R_21,2022,21,,ONE MATCH,100.0,"396 PONTIAC AV, CRANSTON, RI, 02910",345193.208718585,252780.4055744848
12,RI,RI0010,006,KNV,KNIGHTSVILLE BRANCH,1847 CRANSTON STREET,CRANSTON,02920,PROVIDENCE,BR,2240,R_21,1330,R_21,52,R_21,2022,21,,ONE MATCH,100.0,"1847 CRANSTON ST, CRANSTON, RI, 02920",337063.1175327102,253396.03566096007
