"org_ID","parent_ID","code","finance_code","name","name_short_30","name_short_15","org_type_ID","org_type","active","location_ID","location_address1","location_address2","location_address3","location_city","location_state","location_zip","location","location_zip_ext","location_phone","location_fax","location_email","location_web_site","grade_code_low","grade_code_high","grade_span","contact_title_ID","contact_ID","title","user_firstname","user_middlename","user_lastname","user_suffix","fullname","role_name","role_ID","contact_phone","contact_phone2","contact_phone3","contact_fax","contact_email","group_code","group_name","sch_sub_type_ID","sch_sub_type_name","role_sort_order","program_offered_ID","source"
"1568","50","06123","","The Regional Career and Technical Center at Coventry HS","The Regional Career and Tech  ","Career Tech","2","School","Y","1200","40 Reservoir Road","","","Coventry","RI","02816","Coventry, RI  02816","","(401) 822-9499","(401) 822-9492","fergusonlori@coventryschools.net","www.coventryschools.net/hs","09","12","09 - 12","9","4070","Director","Lori","","Ferguson","","Lori  Ferguson","Principal","2","(401) 822-9499","","","(401) 822-9492","fergusonlori@coventryschools.net","Coventry","Town of Coventry","1","Career Tech","5","","RIDE_Mar 13 2023 12:58PM"
"1569","51","07132","","Cranston Area Career Technical Center","Cranston Career & Tech Center","Cranston Tech","2","School","Y","1201","100 Metropolitan Avenue","","","Cranston","RI","02920","Cranston, RI  02920","","(401) 270-8070","(401) 270-8611","zfarrell@cpsed.net","www.cpsed.net/cactc","09","12","09 - 12","9","5420","Director","Zachary","","Farrell","","Zachary  Farrell","Principal","2","(401) 270-8706","","","(401) 270-8611","zfarrell@cpsed.net","Cranston","City of Cranston","1","Career Tech","5","","RIDE_Mar 13 2023 12:58PM"
"1570","57","10130","","E. Providence Area Career and Technical Center","East Providence Career Tech","E. Prov. Tech","2","School","Y","1202","1998 Pawtucket Avenue","","","East Providence","RI","02914","East Providence, RI  02914","","(401) 435-7815","(401) 435-7854","rsmall@epschoolsri.com","eastprovidencehighschool.com/web/","09","12","09 - 12","","","","","","","","  ","","","(401) 435-7815","","","(401) 435-7854","rsmall@epschoolsri.com","East Providence","City of East Providence","1","Career Tech","","","RIDE_Mar 13 2023 12:58PM"
"1510","54","17701","","Wm. M. Davies Jr. Career-Technical  High School","Davies Career-Tech High School","Davies Car/Tech","2","School","Y","1145","50 Jenckes Hill Road","","","Lincoln","RI","02865","Lincoln, RI  02865","","(401) 728-1500","(401) 728-8910","community@daviestech.org","www.daviestech.org","09","12","09 - 12","9","1317","Director","Mary","","Watkins","","Mary  Watkins","Principal","2","(401) 728-1500","","","(401) 728-8910","mwatkins@daviestech.org","Lincoln","Town of Lincoln","4","State Operated School","5","681","RIDE_Mar 13 2023 12:58PM"
"1571","73","21117","","Newport Area Career and Technical Center","Newport Area Career Tech Ctr","Newport Tech","2","School","Y","1203","15 Wickham Rd","","","Newport","RI","02840","Newport, RI  02840","","(401) 847-2100","(401) 849-0170","robertyoung@npsri.net","www.npsri.net/NACTC","09","12","09 - 12","2","5415","Principal","Jared","","Vance","","Jared  Vance","Principal","2","(401) 847-6235","","","(401) 849-3295","jaredvance@npsri.net","Newport","City of Newport","1","Career Tech","5","","RIDE_Mar 13 2023 12:58PM"
"1521","69","28703","","Metropolitan Regional Career and Technical Center","Metropolitan Career Tech Ctr","Metropolitan","2","School","Y","2119","115 Girard Ave","East Bay Campus","","Newport","RI","02840","Newport, RI  02840","","(401) 849-7711","(401) 846-5703","ndiaz@metmail.org","www.themethighschool.org","09","12","09 - 12","","","","","","","","  ","","","(401) 849-7711","","","(401) 846-5703","ndiaz@metmail.org","Providence","City of Providence","4","State Operated School","","680","RIDE_Mar 13 2023 12:58PM"
"1521","69","28703","","Metropolitan Regional Career and Technical Center","Metropolitan Career Tech Ctr","Metropolitan","2","School","Y","1156","325 Public Street","","","Providence","RI","02905","Providence, RI  02905","","(401) 752-2600","(401) 752-2632","ndiaz@metmail.org","www.themethighschool.org","09","12","09 - 12","","","","","","","","  ","","","(401) 752-2600","","","(401) 752-2632","ndiaz@metmail.org","Providence","City of Providence","4","State Operated School","","680","RIDE_Mar 13 2023 12:58PM"
"1521","69","28703","","Metropolitan Regional Career and Technical Center","Metropolitan Career Tech Ctr","Metropolitan","2","School","Y","2118","362 Dexter Street","Peace Street Campus","","Providence","RI","02907","Providence, RI  02907","","(401) 752-3400","(401) 752-3425","ndiaz@metmail.org","www.themethighschool.org","09","12","09 - 12","","","","","","","","  ","","","(401) 752-3400","","","(401) 752-3425","ndiaz@metmail.org","Providence","City of Providence","4","State Operated School","","680","RIDE_Mar 13 2023 12:58PM"
"1575","49","98102","","Chariho Area Career and Technical Center","Chariho Career and Tech Center","Chariho Tech","2","School","Y","1207","459 Switch Road","","","Wood River Junction","RI","02894","Wood River Junction, RI  02894","","(401) 364-6869","(401) 223-9623","Gerald.Auth@chariho.k12.ri.us","www.chariho.k12.ri.us/ctc","09","12","09 - 12","9","4069","Director","Gerald","","Auth","","Gerald  Auth","Principal","2","(401) 364-6869","","","(401) -22-39623","Gerald.Auth@chariho.k12.ri.us","Richmond","Town of Richmond","1","Career Tech","5","","RIDE_Mar 13 2023 12:58PM"
"1573","88","35140","","Warwick Area Career and Technical Center","Warwick Career and Tech Center","Warwick Tech","2","School","Y","1205","575 Centerville Road-Bldg. 5","","","Warwick","RI","02886","Warwick, RI  02886-2714","2714","(401) 734-3150","(401) 734-3160","timothy.kane@warwickschools.org","https://wactc.warwickschools.org","10","12","10 - 12","9","6164","Director","Timothy","","Kane","","Timothy  Kane","Principal","2","(401) 734-3150","","","(401) 734-3160","timothy.kane@warwickschools.org","Warwick","City of Warwick","1","Career Tech","5","","RIDE_Mar 13 2023 12:58PM"
