"org_ID","parent_ID","code","finance_code","name","name_short_30","name_short_15","org_type_ID","org_type","active","location_address1","location_address2","location_address3","location_city","location_state","location_zip","location","location_zip_ext","location_phone","location_fax","location_email","location_web_site","grade_code_low","grade_code_high","grade_span","contact_title_ID","title","user_firstname","user_middlename","user_lastname","user_suffix","user_prefix","contact_ID","fullname","role_name","role_ID","contact_phone","contact_phone2","contact_phone3","contact_fax","contact_email","group_code","group_name","group_ID","listing_order","sch_sub_type_ID","sch_sub_type_name","role_sort_order","program_offered_ID","sch_trelay","sch_tdd","att_Ride_Appr","att_Spec_Ed","source"
"1498","","39333","","Action Based Enterprises","Action Based Enterprises","Action Based","2","School","Y","141 Main Street","","","Woonsocket","RI","02895","Woonsocket, RI  02895","","(401) 767-5959","(401) 767-5957","abehap@gmail.com","","KG","12","KG - 12","19","Program Director","Cathy","","Regan","","","1309","Cathy  Regan","Principal","2","(401) 767-5959","","","(401) 767-5957","","Woonsocket","City of Woonsocket","","","12","Special Education","5","621","1-800-745-5555","","5080","5352","RIDE_Mar 11 2024 10:29AM"
"1498","","39333","","Action Based Enterprises","Action Based Enterprises","Action Based","2","School","Y","141 Main Street","","","Woonsocket","RI","02895","Woonsocket, RI  02895","","(401) 767-5959","(401) 767-5957","abehap@gmail.com","","KG","12","KG - 12","260","Director of Special Education","Robert","","Purcell","","","2344","Robert  Purcell","Special Education Director","5","(401) 767-5959","","","(401) 767-5957","rpurcell@cox.net","Woonsocket","City of Woonsocket","","","12","Special Education","12","621","1-800-745-5555","","5080","5352","RIDE_Mar 11 2024 10:29AM"
"3185","","08303","","Bradley School North","Bradley School North","Bradley North","2","School","Y","7 Fatima Drive","","","Cumberland","RI","02864","Cumberland, RI  02864","","(401) 606-3750","(401) 606-3751","pmartins1@lifespan.org","www.bradleyschool.org","KG","06","KG - 06","79","Medical Director","Dr. Dale","","Radka","M.D.","","6292","Dr. Dale  Radka, M.D.","Director","15","(401) 606-4100","","","(401) 606-4110","Dradka@Lifespan.org","Cumberland","Town of Cumberland","","","12","Special Education","6","","","","6230","6231","RIDE_Mar 11 2024 10:29AM"
"3185","","08303","","Bradley School North","Bradley School North","Bradley North","2","School","Y","7 Fatima Drive","","","Cumberland","RI","02864","Cumberland, RI  02864","","(401) 606-3750","(401) 606-3751","pmartins1@lifespan.org","www.bradleyschool.org","KG","06","KG - 06","22","Special Ed. Director","Patricia","","Martins","","","4425","Patricia  Martins","Special Education Director","5","(401) 606-4100","","","(401) 606-4110","pmartins1@lifespan.org","Cumberland","Town of Cumberland","","","12","Special Education","12","","","","6230","6231","RIDE_Mar 11 2024 10:29AM"
"3185","","08303","","Bradley School North","Bradley School North","Bradley North","2","School","Y","7 Fatima Drive","","","Cumberland","RI","02864","Cumberland, RI  02864","","(401) 606-3750","(401) 606-3751","pmartins1@lifespan.org","www.bradleyschool.org","KG","06","KG - 06","78","Clinical Director","Jamie","","Hollenbeck","","Dr","4422","Dr Jamie  Hollenbeck","Main Contact Person","14","(401) 606-3750","","","(401) 606-3751","JHollenbeck@lifespan.org","Cumberland","Town of Cumberland","","","12","Special Education","20","","","","6230","6231","RIDE_Mar 11 2024 10:29AM"
"3001","","28387","","Bradley School Providence","Bradley School Providence","Bradley School","2","School","Y","130 Broadway","","","Providence","RI","02903","Providence, RI  02903","","(401) 606-2250","(401) 606-2251","pmartins1@lifespan.org","www.bradleyschool.org","05","12","05 - 12","22","Special Ed. Director","Patricia","","Martins","","","3762","Patricia  Martins","Principal","2","(401) 606-4100","","","(401) 606-4110","pmartins1@lifespan.org","Providence","City of Providence","","","12","Special Education","5","706","","","6054","6055","RIDE_Mar 11 2024 10:29AM"
"3001","","28387","","Bradley School Providence","Bradley School Providence","Bradley School","2","School","Y","130 Broadway","","","Providence","RI","02903","Providence, RI  02903","","(401) 606-2250","(401) 606-2251","pmartins1@lifespan.org","www.bradleyschool.org","05","12","05 - 12","79","Medical Director","Dr Dale","","Radka","M.D.","","6291","Dr Dale  Radka, M.D.","Director","15","(401) 606-4100","","","(401) 606-4110","dradka@Lifespan.org","Providence","City of Providence","","","12","Special Education","6","706","","","6054","6055","RIDE_Mar 11 2024 10:29AM"
"3001","","28387","","Bradley School Providence","Bradley School Providence","Bradley School","2","School","Y","130 Broadway","","","Providence","RI","02903","Providence, RI  02903","","(401) 606-2250","(401) 606-2251","pmartins1@lifespan.org","www.bradleyschool.org","05","12","05 - 12","78","Clinical Director","Dr. James","","Brcak","","","5375","Dr. James  Brcak","Main Contact Person","14","(401) 606-2250","","","(401) 606-2251","JBrcak@Lifespan.org","Providence","City of Providence","","","12","Special Education","20","706","","","6054","6055","RIDE_Mar 11 2024 10:29AM"
"111","","32301","","Bradley School-South","Bradley School-South","Bradley","2","School","Y","31 Fairfield Way","","","Wakefield","RI","02879","Wakefield, RI  02879","","(401) 284-1040","(401) 284-1045","pmartins1@lifespan.org","","KG","12","KG - 12","79","Medical Director","Dale","","Radka","M.D.","","2132","Dale  Radka, M.D.","Director","15","(401) 606-4100","","","(401) 606-4110","DRadka@Lifespan.org","South Kingstown","Town of South Kingstown","","","12","Special Education","6","3","1-800-745-5555","","5047","5319","RIDE_Mar 11 2024 10:29AM"
"111","","32301","","Bradley School-South","Bradley School-South","Bradley","2","School","Y","31 Fairfield Way","","","Wakefield","RI","02879","Wakefield, RI  02879","","(401) 284-1040","(401) 284-1045","pmartins1@lifespan.org","","KG","12","KG - 12","260","Director of Special Education","Patricia","","Martins","","","3308","Patricia  Martins","Special Education Director","5","(401) 606-4100","","","(401) 606--4110","pmartins1@lifespan.org","South Kingstown","Town of South Kingstown","","","12","Special Education","12","3","1-800-745-5555","","5047","5319","RIDE_Mar 11 2024 10:29AM"
