"org_ID","parent_ID","code","finance_code","name","name_short_30","name_short_15","org_type_ID","org_type","active","location_address1","location_address2","location_address3","location_city","location_state","location_zip","location","location_zip_ext","location_phone","location_fax","location_email","location_web_site","contact_title_ID","title","user_firstname","user_middlename","user_lastname","user_suffix","contact_ID","fullname","role_name","role_ID","contact_phone","contact_phone2","contact_phone3","contact_fax","contact_email","group_ID","listing_order","sch_sub_type_ID","sch_sub_type_name","role_sort_order","source"
"1087","","28414","","Empire Beauty School","Empire Beauty School","Empire Beauty","2","School","Y","151 Broadway                  ","","","Providence","RI","02903","Providence, RI  02903-3052","3052","(401) 272-4300","","                                                  ","www.empire.edu","9","Director","Jacqueline","","Pace","","2335","Jacqueline  Pace","Principal","2","(401) 272-4300","","","","","","","9","Independent (Higher Education)","5","RIDE_Mar 11 2024 10:30AM"
"1369","","35413","","Empire Beauty School","Empire Beauty School","Empire Beauty","2","School","Y","1276 Bald Hill Road","Ste. 100 & 110","","Warwick","RI","02886","Warwick, RI  02886","","(401) 826-2022","","","www.empire.edu","9","Director","Laura Lee","","Lawing","","2336","Laura Lee  Lawing","Principal","2","(401) 826-2022","","","","","","","9","Independent (Higher Education)","5","RIDE_Mar 11 2024 10:30AM"
"699","","21405","","International Yacht Restoration School","International Yacht School","Inter. Yacht","2","School","Y","449 Thames Street","","","Newport","RI","02840","Newport, RI  02840","","(401) 848-5777","","","www.iyrs.org","9","Director","Terry","","Nathan","","604","Terry  Nathan","Principal","2","(401) 848-5777","","","","","","","9","Independent (Higher Education)","5","RIDE_Mar 11 2024 10:30AM"
"2563","","28422","","Learning Gate, Inc.","Learning Gate, Inc.","Learning Gate","2","School","Y","155 South Main Street","1st Floor","","Providence","RI","02903","Providence, RI  02903","","(401) 454-5327","","","www.learninggate.com","9","Director","Joel","","Kestenberg","","2339","Joel  Kestenberg","Principal","2","(401) 454-5327","","","","","","","9","Independent (Higher Education)","5","RIDE_Mar 11 2024 10:30AM"
"589","","17404","","Lincoln Technical Institute","Lincoln Technical Institute","Lincoln Tech","2","School","Y","622 George Washington Highway","Lincoln Mall","","Lincoln","RI","02865","Lincoln, RI  02865","","(401) 334-2430","","","www.lincolntech.com","9","Director","David","","Waldron","","526","David  Waldron","Principal","2","(401) 334-2430","","","","","","","9","Independent (Higher Education)","5","RIDE_Mar 11 2024 10:30AM"
"487","","10406","","Motoring Technical Training Institute (MTTI)","MTTI                          ","MTTI           ","2","School","Y","54 Water Street               ","","","East Providence","RI","02914","East Providence, RI  02914-5022","5022","(401) 434-4840","","                                                  ","www.mtti.tec.ri.us","9","Director","Sharon","","Ring","","446","Sharon  Ring","Principal","2","(401) 434-4840","","","","                                                  ","","","9","Independent (Higher Education)","5","RIDE_Mar 11 2024 10:30AM"
"855","","26410","","NE Tractor Trailer Training School of MA , Inc.","N.E. Tractor Trailer School   ","N.E. Tractor   ","2","School","Y","600 Moshassuck Valley Industrial Highway","","","Pawtucket","RI","02860","Pawtucket, RI  02860","","(401) 725-1220","","                                                  ","www.nettts.com","","","","","","","","  ","","","(401) 725-1220","","","","","","","9","Independent (Higher Education)","","RIDE_Mar 11 2024 10:30AM"
"857","","26424","","Newport School of Hairdressing                    ","Newport Hairdressing School   ","Newport Hair   ","2","School","Y","222-226 Main Street","","","Pawtucket","RI","02860","Pawtucket, RI  02860-5829","5829","(401) 725-6882","","                                                  ","                                                            ","9","Director","Michael","","Berger","","733","Michael  Berger","Principal","2","(401) 725-6882","","","","                                                  ","","","9","Independent (Higher Education)","5","RIDE_Mar 11 2024 10:30AM"
"334","","07406","","Paul Mitchell-The School","Paul Mitchell-The School","Paul Mitchell","2","School","Y","379 Atwood Avenue","","","Cranston","RI","02920","Cranston, RI  02920","","(401) 946-9920","","","www.paulmitchelltheschool.com","9","Director","Michael","K.","Galvin","","330","Michael K. Galvin","Principal","2","(401) 946-9920","","","","","","","9","Independent (Higher Education)","5","RIDE_Mar 11 2024 10:30AM"
"1502","","39411","","Rob-Roy Academy","Rob-Roy Academy","Rob-Roy Academy","2","School","Y","800 Clinton Place","","","Woonsocket","RI","02895","Woonsocket, RI  02895","","(401) 769-1777","","","www.rob-roy.com","9","Director","M.","Susan","DeRosier","","1314","M. Susan DeRosier","Principal","2","(401) 769-1777","","","","","","","9","Independent (Higher Education)","5","RIDE_Mar 11 2024 10:30AM"
