"org_ID","parent_ID","code","finance_code","name","name_short_30","name_short_15","org_type_ID","org_type","active","location_address1","location_address2","location_address3","location_city","location_state","location_zip","location","location_zip_ext","location_phone","location_fax","location_email","location_web_site","grade_code_low","grade_code_high","grade_span","contact_title_ID","title","user_firstname","user_middlename","user_lastname","user_suffix","contact_ID","fullname","role_name","role_ID","contact_phone","contact_phone2","contact_phone3","contact_fax","contact_email","group_code","group_name","group_ID","listing_order","sch_sub_type_ID","sch_sub_type_name","role_sort_order","source","OverRideSortOrder"
"2829","","07353","","A Childs University - Cranston","A Childs University","A Childs Univer","2","School","Y","695 Park Avenue","","","Cranston","RI","02910","Cranston, RI  02910","","(401) 461-1880","","Lynsey@achildsuniversity.com","","PK","KF","PK - KF","9","Director","Lynsey","","Colgan","","3289","Lynsey  Colgan","Principal","2","(401) 461-1880","","","","Lynsey@achildsuniversity.com","","","","","7","Independent (PK, Elem/Sec) ","5","RIDE_Mar 11 2024 10:30AM","9999"
"2928","","17304","","A Childs University - Smithfield","A Childs University","AChilds Univers","2","School","Y","370 George Washington Highway","","","Smithfield","RI","02917","Smithfield, RI  02917","","(401) 349-3010","","Lynsey@AChildsUniversity.com","","PK","KF","PK - KF","9","Director","Lynsey","","Colgan","","3485","Lynsey  Colgan","Principal","2","(401) 349-3010","","","","Lynsey@achildsuniversity.com","","","","","7","Independent (PK, Elem/Sec) ","5","RIDE_Mar 11 2024 10:30AM","9999"
"2607","","32340","","Middlebridge School","Middlebridge School","Middlebridge","2","School","Y","333 Ocean Rd","","","Narragansett","RI","02882","Narragansett, RI  02882","","(401) 226-2352","(401) 783-2166","jkaufman@middlebridgeschool.org","","09","12","09 - 12","75","Head of School","John","J.","Kaufman","","2600","John J. Kaufman","Principal","2","(401) 226-2352","","","(401) 783-2166","jkaufman@middlebridgeschool.org","","","","","7","Independent (PK, Elem/Sec) ","5","RIDE_Mar 11 2024 10:30AM","950"
"3232","","27306","","Sea Rose Montessori Co-op","Sea Rose Montessori Co-op","Sea Rose Montes","2","School","Y","324 East Main Road","St. Mary's Episcapol Church House","","Portsmouth","RI","02871","Portsmouth, RI  02871","","(617) 697-6563","","aquidneck.montessori@gmail.com","searosemontessori.com","PK","03","PK - 03","","","","","","","","  ","","","(617) 697-6563","","","","aquidneck.montessori@gmail.com","","","","","7","Independent (PK, Elem/Sec) ","","RIDE_Mar 11 2024 10:30AM","9999"
"3363","42","709A1","","Seekonk Christian Academy","Seekonk Christian Academy","Seekonk Christi","2","School","Y","95 Sagamore Road","","","seekonk","MA","02771","seekonk, MA  02771","","(508) 336-2615","","","","PK","12","PK - 12","","","","","","","","  ","","","(508) 336-2615","","","","","","","","","7","Independent (PK, Elem/Sec) ","","RIDE_Mar 11 2024 10:30AM","9999"
"139","","01332","","Barrington Christian Academy","Barrington Christian Academy","Barr. Academy","2","School","Y","9 Old County Road","","","Barrington","RI","02806","Barrington, RI  02806","","(401) 246-0113","(401) 246-2540","ewright@bcacademy.org","www.bcacademy.org","KF","12","KF - 12","9","Director","Sean","","Hunley","","4650","Sean  Hunley","Principal","2","(401) 246-0113","","","(401) 246-2540","shunley@bcacademy.org","Barrington","Town of Barrington","","","7","Independent (PK, Elem/Sec) ","5","RIDE_Mar 11 2024 10:30AM","9999"
"126","","01303","","Montessori Centre of Barrington","Montessori Centre","Montessori","2","School","Y","303 Sowams Road","","","Barrington","RI","02806","Barrington, RI  02806","","(401) 245-4754","","","www.montessori-centre.com/","PK","KG","PK - KG","9","Director","Rey","Ann","Garcia-Mills","","161","Rey Ann Garcia-Mills","Principal","2","(401) 245-4754","","","","4montessori@cox.net","Barrington","Town of Barrington","","","7","Independent (PK, Elem/Sec) ","5","RIDE_Mar 11 2024 10:30AM","9999"
"129","","01322","","Red Brick School","Red Brick School","Red Brick","2","School","Y","50 Middle Highway","","","Barrington","RI","02806","Barrington, RI  02806","","(401) 246-2342","","","","PK","KG","PK - KG","9","Director","Kathy","","Rywolt","","2963","Kathy  Rywolt","Principal","2","(401) 246-2342","","","","director@redbrickschoolri.com","Barrington","Town of Barrington","","","7","Independent (PK, Elem/Sec) ","5","RIDE_Mar 11 2024 10:30AM","9999"
"124","","01301","","St. Andrew's School","St. Andrew's School","St. Andrew's","2","School","Y","63 Federal Road","","","Barrington","RI","02806","Barrington, RI  02806-2407","2407","(401) 246-1230","(401) 246-0510","jmartin@standrews-ri.org","www.standrews-ri.org","06","12","06 - 12","302","Director of Upper School","Dana","","Gurney","Ph.D.","159","Dana  Gurney, Ph.D.","Principal","2","(401) 246-1230","","","(401) 246-0510","dgurney@standrews-ri.org","Barrington","Town of Barrington","","","7","Independent (PK, Elem/Sec) ","5","RIDE_Mar 11 2024 10:30AM","9999"
"170","","03311","","Community Christian School                        ","Community Christian           ","Community      ","2","School","Y","113 Church Street             ","","","Pascoag","RI","02859","Pascoag, RI  02859","","(401) 568-5263","","ccspascoag@netzero.net","                                                            ","KF","08","KF - 08","","","","","","","","  ","","","(401) 568-5263","","","","ccspascoag@netzero.net","Burrillville","Town of Burrillville","","","7","Independent (PK, Elem/Sec) ","","RIDE_Mar 11 2024 10:30AM","9999"
