seqid,org_ID,parent_ID,code,name,name_30,name_15,orgtype_ID,org_type,address1,address2,city,state,zipcode,grade_span,subtype_ID,subtype_nm,source,reptsource,add_orig,match_note,score,match_add,xcoord,ycoord
0,1568,50,06123,The Regional Career and Technical Center at Coventry HS,The Regional Career and Tech  ,Career Tech,2,School,40 Reservoir Road,,Coventry,RI,02816,09 - 12,1,Career Tech,RIDE_Mar 13 2023 12:58PM,CareerTech,,ONE MATCH,100,"40 RESERVOIR RD, COVENTRY, RI, 02816",303278.9634945917,219179.44101818514
1,1569,51,07132,Cranston Area Career Technical Center,Cranston Career & Tech Center,Cranston Tech,2,School,100 Metropolitan Avenue,,Cranston,RI,02920,09 - 12,1,Career Tech,RIDE_Mar 13 2023 12:58PM,CareerTech,,ONE MATCH,100,"100 METROPOLITAN AV, CRANSTON, RI, 02920",334934.6334307189,250856.68995345884
2,1570,57,10130,E. Providence Area Career and Technical Center,East Providence Career Tech,E. Prov. Tech,2,School,1998 Pawtucket Avenue,,East Providence,RI,02914,09 - 12,1,Career Tech,RIDE_Mar 13 2023 12:58PM,CareerTech,,ONE MATCH,100,"1998 PAWTUCKET AV, EAST PROVIDENCE, RI, 02914",367319.951951109,268671.6310834155
3,1510,54,17701,Wm. M. Davies Jr. Career-Technical  High School,Davies Career-Tech High School,Davies Car/Tech,2,School,50 Jenckes Hill Road,,Lincoln,RI,02865,09 - 12,4,State Operated School,RIDE_Mar 13 2023 12:58PM,CareerTech,,ONE MATCH,100,"50 JENCKES HILL RD, LINCOLN, RI, 02865",339784.60173236404,298663.8738958488
4,1571,73,21117,Newport Area Career and Technical Center,Newport Area Career Tech Ctr,Newport Tech,2,School,15 Wickham Rd,,Newport,RI,02840,09 - 12,1,Career Tech,RIDE_Mar 13 2023 12:58PM,CareerTech,,MULTIPLE MATCHES,100,"15 WICKHAM RD, NEWPORT, RI, 02840",376604.4898463303,140470.36486026738
5,1575,49,98102,Chariho Area Career and Technical Center,Chariho Career and Tech Center,Chariho Tech,2,School,459 Switch Road,,Wood River Junction,RI,02894,09 - 12,1,Career Tech,RIDE_Mar 13 2023 12:58PM,CareerTech,,ONE MATCH,96.49,"459 SWITCH RD, RICHMOND, RI, 02894",274497.64321356814,133053.33645192313
6,1573,88,35140,Warwick Area Career and Technical Center,Warwick Career and Tech Center,Warwick Tech,2,School,575 Centerville Road-Bldg. 5,,Warwick,RI,02886,10 - 12,1,Career Tech,RIDE_Mar 13 2023 12:58PM,CareerTech,,MULTIPLE MATCHES,100,"575 CENTERVILLE RD, WARWICK, RI, 02886",331034.54562339076,226141.60903099354
7,1574,91,39127,Woonsocket Area Career and Technical Center,Woonsocket Career an Tech Ctr.,Woonsocket Tech,2,School,400 Aylsworth Avenue,,Woonsocket,RI,02895,10 - 12,1,Career Tech,RIDE_Mar 13 2023 12:58PM,CareerTech,,ONE MATCH,100,"400 AYLSWORTH AV, WOONSOCKET, RI, 02895",331930.1990169303,335108.7688969133
8,616,2395,19201,All Saints Academy,All Saints Academy,All Saints,2,School,915 West Main Road,,Middletown,RI,02842,PF - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"915 W MAIN RD, MIDDLETOWN, RI, 02842",384893.62551369244,161087.28013431423
9,1308,2395,35201,Bishop Hendricken High School,Bishop Hendricken High,Hendricken High,2,School,2615 Warwick Avenue,,Warwick,RI,02889,08 - 12,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"2615 WARWICK AV, WARWICK, RI, 02889",356417.7664556541,226815.39255699923
10,984,2395,28217,Bishop McVinney Regional School,Bishop McVinney School,McVinney School,2,School,155 Gordon Avenue,,Providence,RI,02905,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"155 GORDON AV, PROVIDENCE, RI, 02905",351232.77834241156,261741.09984255923
11,975,2395,28202,Blessed Sacrament School,Blessed Sacrament School,Sacrament,2,School,240 Regent Avenue,,Providence,RI,02908,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"240 REGENT AV, PROVIDENCE, RI, 02908",343552.43141369754,271764.2296492031
12,3614,2395,35209,Chesterton Academy of Our Lady of Hope(in Process),Chesterton Academy of Our Lady,Chesterton Acad,2,School,487 Jefferson Blv,,Warwick,RI,02886,09 - 12,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"487 JEFFERSON BLVD, WARWICK, RI, 02886",344047.47927446984,237440.90204832665
13,228,2395,06204,Father John V. Doyle School,Father John Doyle School,Doyle School,2,School,343 South Main Street,,Coventry,RI,02816,KF - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"343 S MAIN ST, COVENTRY, RI, 02816",307204.9611716909,218461.12329232358
14,288,2395,07202,Immaculate Conception Catholic Regional,Immaculate Conception Catholic,Immaculate Cath,2,School,235 Garden Hills Drive,,Cranston,RI,02920,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"235 GARDEN HILLS DR, CRANSTON, RI, 02920",334768.72380541195,243562.2624641764
15,978,2395,28206,La Salle Academy,La Salle Academy,La Salle Academ,2,School,612 Academy Avenue,,Providence,RI,02908,06 - 12,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,MULTIPLE MATCHES,100,"612 ACADEMY AV, PROVIDENCE, RI, 02908",342652.76839543146,276337.77973663894
16,369,2395,08201,Mercymount Country Day School,Mercymount Country Day,Mercymount Day,2,School,35 Wrentham Road,,Cumberland,RI,02864,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,MULTIPLE MATCHES,100,"35 WRENTHAM RD, CUMBERLAND, RI, 02864",351341.8988317548,336688.7474411105
17,1475,2395,39202,Mount St. Charles Academy,Mount St. Charles Academy,Mt. St. Charles,2,School,800 Logee Street,,Woonsocket,RI,02895,06 - 12,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,MULTIPLE MATCHES,100,"800 LOGEE ST, WOONSOCKET, RI, 02895",327613.29267398414,332555.22491392144
18,1193,2395,32203,Msgr. Matthew F. Clarke Catholic Regional School,Msgr. Clarke School,Clarke School,2,School,5074 Tower Hill Road,,Wakefield,RI,02879,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,93.28,"5074 TOWER HILL RD, SOUTH KINGSTOWN, RI, 02879",334126.68809932313,130918.70108588546
19,398,2395,09201,Our Lady of Mercy Regional School,Our Lady of Mercy School,Lady of Mercy,2,School,55 Fourth Avenue,,East Greenwich,RI,02818,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"55 FOURTH AV, EAST GREENWICH, RI, 02818",339800.3705433559,208148.28124369265
20,1588,2395,96201,Our Lady of Mt. Carmel,Our Lady of Mt. Carmel,Mt. Carmel,2,School,127 State Street,,Bristol,RI,02809,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"127 STATE ST, BRISTOL, RI, 02809",389908.84508485364,214295.67844127308
21,447,2395,10202,Sacred Heart School,Sacred Heart School,Sacred Heart,2,School,56 Purchase Street,,East Providence,RI,02914,KF - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"56 PURCHASE ST, EAST PROVIDENCE, RI, 02914",361471.4443166009,268181.01720923494
22,981,2395,28211,St. Augustine School,St. Augustine School,St. Augustine,2,School,635 Mt. Pleasant Avenue,,Providence,RI,02908,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"635 MOUNT PLEASANT AV, PROVIDENCE, RI, 02908",340816.2650867067,277652.32588313776
23,823,2395,26203,St. Cecilia School,St. Cecilia School,St. Cecilia,2,School,755 Central Avenue,,Pawtucket,RI,02861,KF - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"755 CENTRAL AV, PAWTUCKET, RI, 02861",368080.4639375696,293197.9701258254
24,1435,2395,38206,St. Joseph School,St. Joseph School,St. Joseph,2,School,850 Wakefield Street,,West Warwick,RI,02893,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"850 WAKEFIELD ST, WEST WARWICK, RI, 02893",330107.53307781083,233976.99478246708
25,1310,2395,35204,St. Kevin School,St. Kevin School,St. Kevin,2,School,39 Cathedral Road,,Warwick,RI,02889,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"39 CATHEDRAL RD, WARWICK, RI, 02889",357579.85961057217,229296.3468650456
26,123,2395,01201,St. Luke School,St. Luke School,St. Luke School,2,School,10 Waldron Avenue,,Barrington,RI,02806,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"10 WALDRON AV, BARRINGTON, RI, 02806",371895.897501784,243258.05846279187
27,449,2395,10205,St. Margaret School,St. Margaret School,St. Margaret,2,School,42 Bishop Avenue,,East Providence,RI,02916,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"42 BISHOP AV, EAST PROVIDENCE, RI, 02916",368867.5520815896,277273.0296616026
28,451,2395,10208,St. Mary Academy-Bay View,St. Mary Academy-Bay View,Bay View,2,School,3070 Pawtucket Avenue,,East Providence,RI,02915,KF - 12,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,MULTIPLE MATCHES,100,"3070 PAWTUCKET AV, EAST PROVIDENCE, RI, 02915",365183.57947762305,257693.45308609592
29,289,2395,07203,St. Mary School,St. Mary School,St. Mary School,2,School,85 Chester Avenue,,Cranston,RI,02920,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"85 CHESTER AV, CRANSTON, RI, 02920",337490.4102710016,257346.22593037563
30,993,2395,28230,St. Patrick School,St. Patrick School,St. Patrick,2,School,244 Smith Street,,Providence,RI,02908,09 - 12,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"244 SMITH ST, PROVIDENCE, RI, 02908",349981.5493658032,272966.4706093701
31,291,2395,07205,St. Paul School,St. Paul School,St. Paul School,2,School,1789 Broad Street,,Cranston,RI,02905,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"1789 BROAD ST, CRANSTON, RI, 02905",355317.08679123106,252666.8392005536
32,1311,2395,35205,St. Peter School,St. Peter School              ,St. Peter      ,2,School,120 Mayfair Road,,Warwick,RI,02888,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"120 MAYFAIR RD, WARWICK, RI, 02888",357403.10694470897,244586.9892867221
33,1159,2395,31202,St. Philip School,St. Philip School,St. Philip,2,School,618 Putnam Pike,,Smithfield,RI,02828,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,MULTIPLE MATCHES,100,"618 PUTNAM PIKE, SMITHFIELD, RI, 02828",311902.76996566204,287885.6179290338
34,876,2395,27202,St. Philomena School,St. Philomena School,St. Philomena,2,School,324 Cory's Lane,,Portsmouth,RI,02871,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,MULTIPLE MATCHES,98.08,"324 CORYS LN, PORTSMOUTH, RI, 02871",389305.5809824509,188046.06535417677
35,985,2395,28219,St. Pius V School,St. Pius V School,St. Pius School,2,School,49 Elmhurst Avenue,,Providence,RI,02908,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"49 ELMHURST AV, PROVIDENCE, RI, 02908",345372.64636559546,276092.3954625732
36,827,2395,26210,St. Raphael Academy,St. Raphael Academy,St. Raphael,2,School,123 Walcott Street,,Pawtucket,RI,02860,09 - 12,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,MULTIPLE MATCHES,100,"123 WALCOTT ST, PAWTUCKET, RI, 02860",361663.80318750755,289139.28599486756
37,542,2395,16221,St. Rocco School,St. Rocco School,St. Rocco,2,School,931 Atwood Avenue,,Johnston,RI,02919,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"931 ATWOOD AV, JOHNSTON, RI, 02919",332523.64727245056,260037.4416276428
38,1314,2395,35208,St. Rose of Lima School,St. Rose of Lima School,St. Rose Lima,2,School,200 Brentwood Avenue,,Warwick,RI,02886,PK - 08,6,Catholic School,RIDE_Mar 13 2023 12:58PM,Catholic,,ONE MATCH,100,"200 BRENTWOOD AV, WARWICK, RI, 02886",346678.0429530002,227498.37720008258
